Nome do data point,Tempo,Valor,Processado,Comentário
PLC - Height,2023/02/16 14:00:04,95.0,95.0,
PLC - Height,2023/02/16 14:00:11,94.0,94.0,
PLC - Height,2023/02/16 14:00:15,93.0,93.0,
PLC - Height,2023/02/16 14:00:20,92.0,92.0,
PLC - Height,2023/02/16 14:00:26,91.0,91.0,
PLC - Height,2023/02/16 14:00:32,90.0,90.0,
PLC - Height,2023/02/16 14:00:36,89.0,89.0,
PLC - Height,2023/02/16 14:00:40,88.0,88.0,
PLC - Height,2023/02/16 14:00:44,87.0,87.0,
PLC - Height,2023/02/16 14:00:48,86.0,86.0,
PLC - Height,2023/02/16 14:00:51,85.0,85.0,
PLC - Height,2023/02/16 14:00:55,84.0,84.0,
PLC - Height,2023/02/16 14:00:58,83.0,83.0,
PLC - Height,2023/02/16 14:01:01,82.0,82.0,
PLC - Height,2023/02/16 14:01:05,81.0,81.0,
PLC - Height,2023/02/16 14:01:08,80.0,80.0,
PLC - Height,2023/02/16 14:01:12,81.0,81.0,
PLC - Height,2023/02/16 14:01:16,82.0,82.0,
PLC - Height,2023/02/16 14:01:19,83.0,83.0,
PLC - Height,2023/02/16 14:01:22,84.0,84.0,
PLC - Height,2023/02/16 14:01:25,85.0,85.0,
PLC - Height,2023/02/16 14:01:27,86.0,86.0,
PLC - Height,2023/02/16 14:01:30,87.0,87.0,
PLC - Height,2023/02/16 14:01:33,88.0,88.0,
PLC - Height,2023/02/16 14:01:36,89.0,89.0,
PLC - Height,2023/02/16 14:01:38,90.0,90.0,
PLC - Height,2023/02/16 14:01:40,91.0,91.0,
PLC - Height,2023/02/16 14:01:42,92.0,92.0,
PLC - Height,2023/02/16 14:01:45,93.0,93.0,
PLC - Height,2023/02/16 14:01:47,94.0,94.0,
PLC - Height,2023/02/16 14:01:49,95.0,95.0,
PLC - Height,2023/02/16 14:01:51,96.0,96.0,
PLC - Height,2023/02/16 14:01:53,97.0,97.0,
PLC - Height,2023/02/16 14:01:54,98.0,98.0,
PLC - Height,2023/02/16 14:01:56,99.0,99.0,
PLC - Height,2023/02/16 14:01:58,100.0,100.0,
PLC - Height,2023/02/16 14:01:59,99.0,99.0,
PLC - Height,2023/02/16 14:02:01,98.0,98.0,
PLC - Height,2023/02/16 14:02:02,97.0,97.0,
PLC - Height,2023/02/16 14:02:04,96.0,96.0,
PLC - Height,2023/02/16 14:02:05,95.0,95.0,
PLC - Height,2023/02/16 14:02:07,94.0,94.0,
PLC - Height,2023/02/16 14:02:08,93.0,93.0,
PLC - Height,2023/02/16 14:02:10,92.0,92.0,
PLC - Height,2023/02/16 14:02:11,91.0,91.0,
PLC - Height,2023/02/16 14:02:13,90.0,90.0,
PLC - Height,2023/02/16 14:02:15,89.0,89.0,
PLC - Height,2023/02/16 14:02:16,88.0,88.0,
PLC - Height,2023/02/16 14:02:18,87.0,87.0,
PLC - Height,2023/02/16 14:02:20,86.0,86.0,
