Nome do data point,Tempo,Valor,Processado,Comentário
PLC - Height,2023/02/16 10:00:00,89.0,89.0,
PLC - Height,2023/02/16 10:00:05,88.0,88.0,
PLC - Height,2023/02/16 10:00:09,87.0,87.0,
PLC - Height,2023/02/16 10:00:12,86.0,86.0,
PLC - Height,2023/02/16 10:00:16,85.0,85.0,
PLC - Height,2023/02/16 10:00:19,84.0,84.0,
PLC - Height,2023/02/16 10:00:22,83.0,83.0,
PLC - Height,2023/02/16 10:00:25,82.0,82.0,
PLC - Height,2023/02/16 10:00:28,81.0,81.0,
PLC - Height,2023/02/16 10:00:31,80.0,80.0,
PLC - Height,2023/02/16 10:00:34,81.0,81.0,
PLC - Height,2023/02/16 10:00:37,82.0,82.0,
PLC - Height,2023/02/16 10:00:39,83.0,83.0,
PLC - Height,2023/02/16 10:00:42,84.0,84.0,
PLC - Height,2023/02/16 10:00:44,85.0,85.0,
PLC - Height,2023/02/16 10:00:47,86.0,86.0,
PLC - Height,2023/02/16 10:00:49,87.0,87.0,
PLC - Height,2023/02/16 10:00:52,88.0,88.0,
PLC - Height,2023/02/16 10:00:54,89.0,89.0,
PLC - Height,2023/02/16 10:00:56,90.0,90.0,
PLC - Height,2023/02/16 10:00:58,91.0,91.0,
PLC - Height,2023/02/16 10:01:00,92.0,92.0,
PLC - Height,2023/02/16 10:01:02,93.0,93.0,
PLC - Height,2023/02/16 10:01:04,94.0,94.0,
PLC - Height,2023/02/16 10:01:06,95.0,95.0,
PLC - Height,2023/02/16 10:01:07,96.0,96.0,
PLC - Height,2023/02/16 10:01:09,97.0,97.0,
PLC - Height,2023/02/16 10:01:11,98.0,98.0,
PLC - Height,2023/02/16 10:01:13,99.0,99.0,
PLC - Height,2023/02/16 10:01:15,100.0,100.0,
PLC - Height,2023/02/16 10:01:17,99.0,99.0,
PLC - Height,2023/02/16 10:01:19,98.0,98.0,
PLC - Height,2023/02/16 10:01:21,97.0,97.0,
PLC - Height,2023/02/16 10:01:23,96.0,96.0,
PLC - Height,2023/02/16 10:01:25,95.0,95.0,
PLC - Height,2023/02/16 10:01:28,94.0,94.0,
PLC - Height,2023/02/16 10:01:30,93.0,93.0,
PLC - Height,2023/02/16 10:01:33,92.0,92.0,
PLC - Height,2023/02/16 10:01:35,91.0,91.0,
PLC - Height,2023/02/16 10:01:38,90.0,90.0,
PLC - Height,2023/02/16 10:01:40,89.0,89.0,
PLC - Height,2023/02/16 10:01:43,88.0,88.0,
PLC - Height,2023/02/16 10:01:46,87.0,87.0,
PLC - Height,2023/02/16 10:01:49,86.0,86.0,
PLC - Height,2023/02/16 10:01:52,85.0,85.0,
PLC - Height,2023/02/16 10:01:55,84.0,84.0,
PLC - Height,2023/02/16 10:01:58,83.0,83.0,
PLC - Height,2023/02/16 10:02:01,82.0,82.0,
PLC - Height,2023/02/16 10:02:05,81.0,81.0,
PLC - Height,2023/02/16 10:02:08,80.0,80.0,
PLC - Height,2023/02/16 10:02:11,81.0,81.0,
PLC - Height,2023/02/16 10:02:15,82.0,82.0,
PLC - Height,2023/02/16 10:02:19,83.0,83.0,
PLC - Height,2023/02/16 10:02:23,84.0,84.0,
PLC - Height,2023/02/16 10:02:27,85.0,85.0,
PLC - Height,2023/02/16 10:02:31,86.0,86.0,
PLC - Height,2023/02/16 10:02:35,87.0,87.0,
PLC - Height,2023/02/16 10:02:39,88.0,88.0,
PLC - Height,2023/02/16 10:02:44,89.0,89.0,
PLC - Height,2023/02/16 10:02:48,90.0,90.0,
PLC - Height,2023/02/16 10:02:53,91.0,91.0,
PLC - Height,2023/02/16 10:02:57,92.0,92.0,
PLC - Height,2023/02/16 10:03:02,93.0,93.0,
PLC - Height,2023/02/16 10:03:06,94.0,94.0,
PLC - Height,2023/02/16 10:03:11,95.0,95.0,
PLC - Height,2023/02/16 10:03:14,96.0,96.0,
PLC - Height,2023/02/16 10:03:19,97.0,97.0,
PLC - Height,2023/02/16 10:03:22,98.0,98.0,
