Level,Date and Time,Source,Event ID,Task Category
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{482249B4-8AC9-4D6F-AC3D-10DD51B7AD9B}
	Rule Name:	@{Microsoft.YourPhone_1.22122.94.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{0D406B7F-D239-4FFB-A3C0-5AFAAA064140}
	Rule Name:	@{Microsoft.YourPhone_1.22122.94.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{E9F337A4-97C4-4B93-BCC4-EB1D76799D5D}
	Rule Name:	@{Microsoft.YourPhone_0.19051.7.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{670526F2-0BE8-41A0-A644-7CAB9DB47E50}
	Rule Name:	@{Microsoft.YourPhone_0.19051.7.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{97F0A0E5-753B-4270-B201-A0766DA3529E}
	Rule Name:	@{Microsoft.YourPhone_0.19051.7.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:30:36 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{0240C61A-E065-46FB-819E-B4CE5D8FB5C0}
	Rule Name:	@{Microsoft.YourPhone_0.19051.7.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.YourPhone/Resources/AppName}
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:16:02 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{4D0A14B0-B4C0-430A-AF53-E4CECA352A02}
	Rule Name:	0138f299-56a0-47db-8c39-85ba32e0331c
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{CE7F6399-A39C-4557-BFE4-E399A942C367}\EDGEMITMP_26521.tmp\setup.exe"
Information,2/16/2023 8:16:02 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2005,None,"A rule has been modified in the Windows Defender Firewall exception list.

Modified Rule:
	Rule ID:	{4D0A14B0-B4C0-430A-AF53-E4CECA352A02}
	Rule Name:	0138f299-56a0-47db-8c39-85ba32e0331c
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\109.0.1518.78\msedgewebview2.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{CE7F6399-A39C-4557-BFE4-E399A942C367}\EDGEMITMP_26521.tmp\setup.exe"
Information,2/16/2023 8:16:02 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{34DA4924-86B3-47D7-AE3C-1E56E8BF569D}
	Rule Name:	Microsoft Edge (mDNS-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\110.0.1587.46\msedgewebview2.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{CE7F6399-A39C-4557-BFE4-E399A942C367}\EDGEMITMP_26521.tmp\setup.exe"
Information,2/16/2023 8:15:35 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{F1610F97-3257-4FC2-B413-323B698E6708}
	Rule Name:	Microsoft Edge
	Origin:	Local
	Active:	Yes
	Direction:	Outbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:15:35 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{890C527F-1DF6-4E4D-BE8E-01C88693355D}
	Rule Name:	Microsoft Edge
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Block
	Application Path:	
	Service Name:	
	Protocol:	Any
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:15:35 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{962BE453-6F94-4BC0-BB7F-FD45BDB1F895}
	Rule Name:	Microsoft Edge
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:15:35 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{1BE6AF9F-99C7-4223-987C-D2F949C2FBA5}
	Rule Name:	Microsoft Edge
	Modifying User:	NT SERVICE\mpssvc
	Modifying Application:	C:\Windows\System32\svchost.exe"
Information,2/16/2023 8:15:23 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2004,None,"A rule has been added to the Windows Defender Firewall exception list.

Added Rule:
	Rule ID:	{D439D547-72F3-4B7C-A1A8-671CE07DA8DE}
	Rule Name:	Microsoft Edge (mDNS-In)
	Origin:	Local
	Active:	Yes
	Direction:	Inbound
	Profiles:	Private,Domain, Public
	Action:	Allow
	Application Path:	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
	Service Name:	
	Protocol:	UDP
	Security Options:	None
	Edge Traversal:	None
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
Information,2/16/2023 8:15:23 PM,Microsoft-Windows-Windows Firewall With Advanced Security,2006,None,"A rule has been deleted in the Windows Defender Firewall exception list.

Deleted Rule:
	Rule ID:	{1435AF22-5FF5-43BD-A63F-E07D1DE5CA9C}
	Rule Name:	87b6dbbe-3ea4-4e13-a284-6edd99673000
	Modifying User:	SYSTEM
	Modifying Application:	C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{A2B52A6E-C685-44B1-8A23-392ECF5C333C}\EDGEMITMP_F72B0.tmp\setup.exe"
